gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source,Is_Outlier_LOF
Male,23.0,Yes,2.0,4.0,6.0,5.0,45.92673072281554,1.0,7.0,yes_err,Unknown,Growth,Savings for Future,3-5 years,Weekly,10%-20%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Male,32.0,Yes,3.0,6.0,4.0,2.0,5.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,nan_err,False
Female,436.44818400172704,Yes,2.0,4.0,5.0,6.0,3.0,1.0,7.0,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Female,21.0,Yes,4.0,3.0,2.0,1.0,5.0,6.0,7.0,No,Locking Period,Capital Appreciation,Wealth Creation,1-3 years,Monthly,Unknown,Fixed Deposits,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,False
Male,26.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,3-5 years,weekly_err,30%-40%,Mutual Fund,Unknown,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Female,32.0,Yes,5.0,4.0,3.0,2.0,7.0,1.0,6.0,Yes,Returns,Income,Returns,More than 5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines,False
Male,23.0,Yes,5.0,4.0,7.0,6.0,1.0,2.0,3.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Daily,20%-30%,Unknown,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,False
Female,24.0,Yes,4.0,3.0,2.0,14.78781411348599,5.0,6.0,7.0,No,Locking Period,Capital Appreciation,wealth creation_err,1-3 years,Daily,10%-20%,Equity,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,False
Male,32.0,Yes,2.0,46.38680213244817,7.0,5.0,3.2,1.0,6.0,Unknown,Returns,Growth,Wealth Creation,3-5 years,Daily,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,better returns_err,Assured Returns,fixed returns_err,Financial Consultants,False
Male,30.0,Yes,2.0,4.0,7.0,5.0,1.0,3.0,6.0,Yes,Unknown,Capital Appreciation,Wealth Creation,more than 5 years_err,Weekly,30%-40%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,False
Male,27.0,Yes,2.0,5.0,7.0,6.0,3.0,1.0,4.0,Yes,Risk,capital appreciation_err,Wealth Creation,3-5 years,Monthly,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,False
Female,23.0,Yes,2.0,4.0,5.0,6.0,3.0,1.0,7.0,Yes,Risk,Capital Appreciation,Unknown,3-5 years,Weekly,30%-40%,mutual fund_err,Health Care,Unknown,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Female,29.0,Yes,2.0,3.0,7.0,69.93907056742995,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Male,27.0,Yes,3.0,4.0,6.0,5.0,1.0,2.0,7.0,Yes,Unknown,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Unknown,Fund Diversification,Unknown,Unknown,Financial Consultants,False
Male,30.0,Yes,2.0,3.0,7.0,6.0,4.0,1.0,5.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Weekly,10%-20%,Equity,Health Care,Unknown,Fund Diversification,Safe Investment,Fixed Returns,Television,False
Male,29.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Unknown,Wealth Creation,3-5 years,Monthly,30%-40%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,False
Female,25.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
male_err,436.44818400172704,Yes,3.0,6.0,9.955809222425312,15.58781411348599,5.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,30%-40%,Unknown,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,False
Male,27.0,Yes,2.0,4.0,7.0,5.0,1.0,3.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Female,27.0,Yes,38.91517435062281,6.0,4.0,2.0,45.92673072281554,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,High Interest Rates,Unknown,False
Male,29.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Unknown,Growth,Wealth Creation,3-5 years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False
Male,37.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Returns,Growth,Savings for Future,More than 5 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,False
Male,33.0,Yes,2.0,4.0,7.0,69.93907056742995,3.0,1.0,6.0,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Monthly,30%-40%,Mutual Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,False
Male,25.0,Yes,3.0,2.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Unknown,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Unknown,False
Unknown,19.0,Yes,2.0,1.0,3.0,7.0,6.0,4.0,5.0,Yes,Returns,Income,Wealth Creation,More than 5 years,Monthly,30%-40%,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,False
Female,25.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,30%-40%,Mutual Fund,Unknown,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Female,29.0,yes_err,2.0,3.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Unknown,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,False
Male,38.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Returns,Growth,savings for future_err,Less than 1 year,Daily,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,False
Female,35.0,Yes,3.0,4.0,7.0,5.0,1.0,2.0,6.0,Yes,Risk,Growth,Wealth Creation,More than 5 years,monthly_err,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,better returns_err,Assured Returns,Fixed Returns,Financial Consultants,False
Unknown,25.0,Yes,4.0,3.0,2.0,1.0,5.0,6.0,7.0,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%,Mutual Fund,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Unknown,False
Male,28.0,Yes,3.0,4.0,6.0,5.0,1.0,2.0,7.0,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years_err,Weekly,Unknown,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,assured returns_err,Risk Free,Newspapers and Magazines,False
Unknown,34.0,Yes,2.0,3.0,7.0,6.0,4.0,1.0,5.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,False
Female,28.0,Yes,3.0,6.0,4.0,2.0,5.0,1.0,7.0,Yes,Unknown,Unknown,Wealth Creation,1-3 years,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,False
Male,23.0,Yes,2.0,3.0,7.0,4.0,45.92673072281554,1.0,5.0,Yes,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,20%-30%,Equity,Retirement Plan,Unknown,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Male,30.0,Yes,2.0,3.0,6.0,5.0,4.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,30%-40%_err,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,False
Unknown,29.0,Yes,2.0,3.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,False
Female,29.0,Yes,3.0,2.0,7.0,5.0,4.0,1.0,6.0,Yes,Risk,Unknown,Wealth Creation,Less than 1 year,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television,False
Male,28.0,Yes,1.0,4.0,6.0,5.0,3.0,2.0,7.0,Unknown,Risk,Growth,Wealth Creation,Less than 1 year,Daily,30%-40%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False
Male,27.0,Yes,4.0,3.0,5.0,7.0,2.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,20%-30%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,False
Male,21.0,Unknown,2.0,1.0,3.0,7.0,6.0,4.0,5.0,Yes,Returns,Income,Wealth Creation,Less than 1 year,Daily,10%-20%,Unknown,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,False
Female,22.0,Unknown,4.0,3.0,2.0,1.0,5.0,6.0,7.0,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,20%-30%,Fixed Deposits,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,False
Female,21.0,No,7.0,5.0,4.0,6.0,3.0,1.0,2.0,No,Risk,Capital Appreciation,Wealth Creation,Unknown,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet,False
Male,23.0,Yes,2.0,1.0,3.0,7.0,6.0,4.0,5.0,Yes,Returns,Income,Wealth Creation,1-3 years,Monthly,30%-40%,Unknown,Retirement Plan,Dividend,Unknown,Tax Incentives,High Interest Rates,Internet,False
Male,27.0,Yes,2.0,3.0,6.0,5.0,1.0,4.0,7.0,Yes,Returns,Capital Appreciation,wealth creation_err,Unknown,Daily,30%-40%,Public Provident Fund,Unknown,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,False
Male,24.0,Yes,3.0,2.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,capital appreciation_err,Unknown,More than 5 years,Daily,Unknown,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Unknown,30.0,Yes,3.0,4.0,7.0,5.0,1.0,2.0,6.0,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,10%-20%_err,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Unknown,Unknown,Financial Consultants,False
Male,25.0,Unknown,38.91517435062281,3.0,6.0,4.0,1.0,5.0,7.0,Yes,Returns,Capital Appreciation,Returns,More than 5 years,Monthly,30%-40%,Public Provident Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,False
Male,27.0,Yes,1.0,4.0,6.0,5.0,3.0,2.0,7.0,Yes,Risk,Growth,Wealth Creation,More than 5 years,Monthly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False
Female,27.0,Yes,38.91517435062281,3.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Unknown,False
Male,28.8,Yes,4.0,5.0,1.0,2.0,7.0,3.0,6.0,No,Returns,Unknown,Wealth Creation,1-3 years,Weekly,20%-30%,Unknown,Education,capital appreciation_err,Tax Benefits,Safe Investment,Fixed Returns,Television,False
Female,22.0,Yes,2.0,46.38680213244817,7.0,5.0,4.0,1.0,6.0,yes_err,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,equity_err,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Male,22.0,Yes,2.0,3.0,7.0,4.0,6.0,1.0,5.0,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Female,29.0,Yes,2.0,3.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Unknown,Wealth Creation,More than 5 years,Weekly,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,Risk Free,Newspapers and Magazines,False
Male,30.0,Unknown,3.0,4.0,6.0,5.0,2.0,1.0,7.0,Yes,nan_err,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
male_err,27.0,Unknown,4.0,3.0,5.0,7.0,2.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,10%-20%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,False
Male,27.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Returns,Growth,Wealth Creation,Less than 1 year,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False
Male,27.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,nan_err,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,10%-20%,Mutual Fund,Unknown,Unknown,Fund Diversification,Assured Returns,Unknown,Newspapers and Magazines,False
Male,30.0,yes_err,3.0,2.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Male,23.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Monthly,30%-40%,Mutual Fund,Health Care,Unknown,better returns_err,assured returns_err,Risk Free,Financial Consultants,False
Female,30.0,Yes,3.0,4.0,7.0,5.0,1.0,2.0,6.0,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,False
Female,26.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Male,30.0,Yes,2.0,3.0,6.0,5.0,1.0,4.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,risk free_err,Television,False
Female,22.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,20%-30%,Equity,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Female,34.0,Yes,1.0,2.0,5.0,16.38781411348599,7.0,6.0,4.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines,False
Female,436.44818400172704,Unknown,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%_err,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Female,30.0,Yes,3.0,6.0,4.0,2.0,45.92673072281554,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,False
Male,32.8,Yes,2.0,4.0,7.0,69.93907056742995,3.0,1.0,6.0,Yes,Returns,Growth,Savings for Future,1-3 years_err,Weekly,30%-40%_err,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,False
Male,25.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Monthly,10%-20%,Fixed Deposits,Health Care,Unknown,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Female,34.0,Yes,1.0,2.0,33.77904611212656,3.0,45.92673072281554,6.0,5.4,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,30%-40%,Public Provident Fund,Unknown,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines,False
Male,24.0,Yes,2.0,3.0,7.0,4.0,45.92673072281554,1.0,5.0,Unknown,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Male,28.0,Yes,2.0,4.0,6.0,5.0,2.2,1.2,7.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Weekly,20%-30%,Public Provident Fund,Health Care,Liquidity,Better Returns,Unknown,Risk Free,Financial Consultants,False
Unknown,38.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Savings for Future,More than 5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Female,26.0,Unknown,3.0,2.0,7.0,69.93907056742995,4.0,3.3971508069309406,6.0,Yes,Risk,Growth,Unknown,Less than 1 year,Weekly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,fund diversification_err,Assured Returns,Risk Free,Television,False
Male,24.0,Yes,2.0,3.0,7.0,4.0,6.0,1.0,5.0,Yes,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,False
Male,26.0,Yes,2.0,3.0,6.0,5.0,4.0,1.0,7.0,Yes,Returns,Capital Appreciation,Unknown,3-5 years,Daily,20%-30%,Mutual Fund,Health Care,capital appreciation_err,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,False
Male,27.0,Yes,2.0,3.0,6.0,5.0,4.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,daily_err,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,financial consultants_err,False
Male,24.0,Yes,2.0,4.0,7.0,5.0,1.0,3.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Unknown,20%-30%_err,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,False
Female,25.0,No,2.0,1.0,3.0,6.0,4.0,5.0,7.0,No,Returns,Income,Wealth Creation,1-3 years,Weekly,10%-20%,Mutual Fund,Unknown,Capital Appreciation,Unknown,Safe Investment,Risk Free,nan_err,False
Male,28.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,10%-20%,Public Provident Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,False
Male,33.0,Yes,2.0,3.0,33.77904611212656,6.0,4.0,1.0,5.0,Yes,Risk,Growth,Savings for Future,More than 5 years,Monthly,20%-30%,Equity,health care_err,Capital Appreciation,Unknown,Safe Investment,Fixed Returns,Television,False
Female,25.0,Unknown,3.0,6.0,4.0,2.0,5.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,assured returns_err,High Interest Rates,Financial Consultants,False
Male,36.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Unknown,Growth,Savings for Future,1-3 years_err,Monthly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,False
Male,22.0,Yes,2.0,3.0,7.0,4.0,6.0,1.0,5.0,Yes,Risk,Capital Appreciation,Wealth Creation,Unknown,Daily,20%-30%,Mutual Fund,retirement plan_err,Capital Appreciation,Better Returns,Assured Returns,Risk Free,newspapers and magazines_err,False
Male,30.0,Yes,2.0,5.0,7.0,6.0,3.0,1.0,4.0,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Weekly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,False
Male,25.0,Yes,2.0,3.0,6.0,4.0,45.92673072281554,5.0,7.0,Unknown,returns_err,Capital Appreciation,Returns,1-3 years,Daily,10%-20%,Unknown,Education,Dividend,Better Returns,Safe Investment,Unknown,Newspapers and Magazines,False
Male,29.0,Yes,38.91517435062281,4.0,7.0,5.0,1.0,3.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,False
Unknown,30.0,Unknown,3.0,4.0,6.0,5.0,2.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Male,25.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,3-5 years,Unknown,10%-20%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,False
Male,29.0,Yes,2.0,4.0,7.0,5.0,1.0,3.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,better returns_err,Assured Returns,Unknown,Newspapers and Magazines,False
Male,30.0,Yes,2.0,3.0,6.0,5.0,4.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,10%-20%,fixed deposits_err,Unknown,Unknown,Unknown,Unknown,Fixed Returns,Financial Consultants,False
