gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source
Male,32.0,Yes,2.0,46.38680213244817,7.0,5.0,,1.0,,,Returns,Growth,Wealth Creation,3-5 years,Daily,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,better returns_err,Assured Returns,fixed returns_err,Financial Consultants
Male,30.0,Yes,2.0,4.0,7.0,5.0,1.0,3.0,6.0,Yes,,Capital Appreciation,Wealth Creation,more than 5 years_err,Weekly,30%-40%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,27.0,Yes,2.0,5.0,7.0,6.0,,1.0,4.0,Yes,Risk,capital appreciation_err,Wealth Creation,3-5 years,Monthly,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants
Female,23.0,Yes,2.0,4.0,,6.0,3.0,1.0,7.0,Yes,Risk,Capital Appreciation,,3-5 years,Weekly,30%-40%,mutual fund_err,Health Care,,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Female,29.0,Yes,2.0,3.0,7.0,69.93907056742995,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,27.0,Yes,3.0,4.0,6.0,5.0,1.0,2.0,7.0,Yes,,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,,Fund Diversification,,,Financial Consultants
Male,30.0,Yes,2.0,3.0,7.0,6.0,4.0,1.0,5.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Weekly,10%-20%,Equity,Health Care,,Fund Diversification,Safe Investment,Fixed Returns,Television
Male,29.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,,Wealth Creation,3-5 years,Monthly,30%-40%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Female,25.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants
male_err,436.44818400172704,Yes,,6.0,,,5.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,30%-40%,,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television
Male,27.0,Yes,2.0,,7.0,5.0,1.0,3.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Female,27.0,Yes,38.91517435062281,6.0,,2.0,45.92673072281554,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,,Assured Returns,High Interest Rates,
Male,29.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,,Growth,Wealth Creation,3-5 years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Male,37.0,Yes,,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Returns,Growth,Savings for Future,More than 5 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Male,33.0,Yes,,4.0,7.0,69.93907056742995,3.0,1.0,6.0,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Monthly,30%-40%,Mutual Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,25.0,Yes,3.0,2.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,
,19.0,Yes,2.0,1.0,3.0,7.0,6.0,4.0,5.0,Yes,Returns,Income,Wealth Creation,More than 5 years,Monthly,30%-40%,Equity,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet
Female,25.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,30%-40%,Mutual Fund,,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Female,29.0,yes_err,2.0,3.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Male,38.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Returns,Growth,savings for future_err,Less than 1 year,Daily,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Female,35.0,Yes,3.0,4.0,7.0,5.0,1.0,2.0,,Yes,Risk,Growth,Wealth Creation,More than 5 years,monthly_err,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,better returns_err,Assured Returns,Fixed Returns,Financial Consultants
,25.0,Yes,4.0,3.0,2.0,1.0,,6.0,7.0,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%,Mutual Fund,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,
Male,28.0,Yes,3.0,4.0,6.0,5.0,1.0,2.0,7.0,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years_err,Weekly,,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,assured returns_err,Risk Free,Newspapers and Magazines
,34.0,Yes,2.0,3.0,7.0,6.0,4.0,1.0,5.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Female,28.0,Yes,3.0,6.0,4.0,2.0,5.0,1.0,7.0,Yes,,,Wealth Creation,1-3 years,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants
Male,23.0,Yes,2.0,3.0,7.0,4.0,45.92673072281554,,5.0,Yes,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,20%-30%,Equity,Retirement Plan,,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,30.0,Yes,2.0,3.0,6.0,5.0,4.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,30%-40%_err,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
,29.0,Yes,2.0,3.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Female,29.0,Yes,3.0,2.0,7.0,5.0,4.0,1.0,6.0,Yes,Risk,,Wealth Creation,Less than 1 year,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television
Male,28.0,Yes,1.0,4.0,6.0,,3.0,2.0,7.0,,Risk,Growth,Wealth Creation,Less than 1 year,Daily,30%-40%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Male,27.0,Yes,4.0,3.0,5.0,7.0,2.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,20%-30%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,21.0,,2.0,1.0,3.0,7.0,6.0,4.0,5.0,Yes,Returns,Income,Wealth Creation,Less than 1 year,Daily,10%-20%,,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet
Female,22.0,,4.0,3.0,2.0,1.0,,6.0,7.0,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,20%-30%,Fixed Deposits,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants
Female,21.0,No,7.0,5.0,4.0,6.0,3.0,1.0,2.0,No,Risk,Capital Appreciation,Wealth Creation,,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet
Male,23.0,Yes,2.0,1.0,3.0,7.0,6.0,4.0,5.0,Yes,Returns,Income,Wealth Creation,1-3 years,Monthly,30%-40%,,Retirement Plan,Dividend,,Tax Incentives,High Interest Rates,Internet
Male,27.0,Yes,2.0,3.0,6.0,5.0,1.0,4.0,,Yes,Returns,Capital Appreciation,wealth creation_err,,Daily,30%-40%,Public Provident Fund,,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television
Male,24.0,Yes,3.0,2.0,7.0,,5.0,1.0,6.0,Yes,Returns,capital appreciation_err,,More than 5 years,Daily,,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
,30.0,Yes,3.0,4.0,7.0,5.0,1.0,2.0,6.0,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,10%-20%_err,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,,,Financial Consultants
Male,25.0,,38.91517435062281,3.0,6.0,4.0,1.0,5.0,7.0,Yes,Returns,Capital Appreciation,Returns,More than 5 years,Monthly,30%-40%,Public Provident Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines
Male,33.0,Yes,1.0,3.0,,4.0,5.0,2.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,27.0,Yes,1.0,4.0,6.0,5.0,3.0,2.0,7.0,Yes,Risk,Growth,Wealth Creation,More than 5 years,Monthly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,27.0,Yes,38.91517435062281,3.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,
Male,,Yes,4.0,5.0,1.0,2.0,7.0,3.0,6.0,No,Returns,,Wealth Creation,1-3 years,Weekly,20%-30%,,Education,capital appreciation_err,Tax Benefits,Safe Investment,Fixed Returns,Television
Female,22.0,Yes,2.0,46.38680213244817,7.0,5.0,4.0,1.0,6.0,yes_err,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,equity_err,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,22.0,Yes,2.0,3.0,7.0,4.0,6.0,1.0,5.0,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Female,29.0,Yes,2.0,3.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,,Wealth Creation,More than 5 years,Weekly,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,,Assured Returns,Risk Free,Newspapers and Magazines
Male,30.0,,,4.0,,5.0,2.0,1.0,7.0,Yes,nan_err,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
male_err,27.0,,4.0,3.0,5.0,7.0,2.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,10%-20%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,27.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Returns,Growth,Wealth Creation,Less than 1 year,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Male,27.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,nan_err,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,10%-20%,Mutual Fund,,,Fund Diversification,Assured Returns,,Newspapers and Magazines
Male,30.0,yes_err,3.0,2.0,7.0,4.0,5.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,23.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Monthly,30%-40%,Mutual Fund,Health Care,,better returns_err,assured returns_err,Risk Free,Financial Consultants
Female,30.0,Yes,3.0,4.0,7.0,5.0,1.0,2.0,6.0,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,26.0,Yes,2.0,3.0,7.0,5.0,,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,30.0,Yes,2.0,3.0,6.0,5.0,1.0,4.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,risk free_err,Television
Female,22.0,Yes,2.0,3.0,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,20%-30%,Equity,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,34.0,Yes,1.0,2.0,5.0,,7.0,6.0,4.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines
Female,436.44818400172704,,2.0,,7.0,5.0,4.0,1.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%_err,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Female,30.0,Yes,3.0,6.0,4.0,2.0,45.92673072281554,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants
Male,,Yes,2.0,4.0,7.0,69.93907056742995,3.0,1.0,6.0,Yes,Returns,Growth,Savings for Future,1-3 years_err,Weekly,30%-40%_err,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Male,25.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Monthly,10%-20%,Fixed Deposits,Health Care,,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,34.0,Yes,1.0,2.0,33.77904611212656,3.0,45.92673072281554,6.0,,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,30%-40%,Public Provident Fund,,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines
Male,24.0,Yes,2.0,3.0,7.0,4.0,45.92673072281554,1.0,5.0,,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,28.0,Yes,2.0,4.0,6.0,,,,7.0,Yes,Risk,Growth,Savings for Future,Less than 1 year,Weekly,20%-30%,Public Provident Fund,Health Care,Liquidity,Better Returns,,Risk Free,Financial Consultants
,38.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Savings for Future,More than 5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,26.0,,3.0,2.0,7.0,69.93907056742995,4.0,,6.0,Yes,Risk,Growth,,Less than 1 year,Weekly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,fund diversification_err,Assured Returns,Risk Free,Television
Male,24.0,Yes,2.0,3.0,7.0,4.0,6.0,1.0,5.0,Yes,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,26.0,Yes,2.0,3.0,6.0,,4.0,1.0,7.0,Yes,Returns,Capital Appreciation,,3-5 years,Daily,20%-30%,Mutual Fund,Health Care,capital appreciation_err,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,27.0,Yes,2.0,3.0,6.0,5.0,4.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,,daily_err,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,financial consultants_err
Male,24.0,Yes,2.0,4.0,7.0,,1.0,3.0,,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,,20%-30%_err,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Female,25.0,No,2.0,1.0,3.0,6.0,4.0,5.0,7.0,No,Returns,Income,Wealth Creation,1-3 years,Weekly,10%-20%,Mutual Fund,,Capital Appreciation,,Safe Investment,Risk Free,nan_err
Male,28.0,Yes,2.0,4.0,7.0,5.0,3.0,1.0,6.0,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,10%-20%,Public Provident Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,33.0,Yes,2.0,3.0,33.77904611212656,6.0,4.0,1.0,5.0,Yes,Risk,Growth,Savings for Future,More than 5 years,Monthly,20%-30%,Equity,health care_err,Capital Appreciation,,Safe Investment,Fixed Returns,Television
Female,25.0,,,6.0,4.0,2.0,5.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,assured returns_err,High Interest Rates,Financial Consultants
Male,36.0,Yes,2.0,,7.0,5.0,3.0,1.0,6.0,Yes,,Growth,Savings for Future,1-3 years_err,Monthly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Male,22.0,Yes,2.0,3.0,7.0,4.0,6.0,1.0,5.0,Yes,Risk,Capital Appreciation,Wealth Creation,,Daily,20%-30%,Mutual Fund,retirement plan_err,Capital Appreciation,Better Returns,Assured Returns,Risk Free,newspapers and magazines_err
Male,30.0,Yes,2.0,5.0,7.0,6.0,,1.0,4.0,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Weekly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants
Male,25.0,Yes,2.0,3.0,6.0,4.0,45.92673072281554,5.0,7.0,,returns_err,Capital Appreciation,Returns,1-3 years,Daily,10%-20%,,Education,Dividend,Better Returns,Safe Investment,,Newspapers and Magazines
Male,29.0,Yes,38.91517435062281,4.0,7.0,5.0,1.0,3.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
,30.0,,3.0,4.0,6.0,5.0,2.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,25.0,Yes,2.0,4.0,6.0,5.0,3.0,1.0,7.0,Yes,Risk,Growth,Savings for Future,3-5 years,,10%-20%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,29.0,Yes,2.0,4.0,7.0,5.0,1.0,3.0,6.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,better returns_err,Assured Returns,,Newspapers and Magazines
Male,30.0,Yes,2.0,3.0,6.0,5.0,4.0,1.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,10%-20%,fixed deposits_err,,,,,Fixed Returns,Financial Consultants
Male,32.0,Yes,4.0,3.0,5.0,,2.0,1.0,,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,,Fixed Deposits,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Female,22.0,Yes,2.0,4.0,5.0,6.0,3.0,1.0,7.0,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,,Newspapers and Magazines
Male,28.0,Yes,3.0,4.0,6.0,5.0,1.0,2.0,7.0,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,10%-20%,Mutual Fund,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants
Male,28.0,Yes,2.0,3.0,6.0,5.0,4.0,1.0,7.0,Yes,Returns,Capital Appreciation,,1-3 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Female,31.0,Yes,1.0,2.0,5.0,3.0,7.0,6.0,4.0,Yes,Returns,,Wealth Creation,Less than 1 year,Weekly,10%-20%,Equity,Retirement Plan,Capital Appreciation,better returns_err,Safe Investment,Fixed Returns,Newspapers and Magazines
